فترة الرصد ,العنوان / NOW ,البرنامج ,النوع (أخبار - اقتصاد),التوزيع (ضيف - تقرير - مذيع - فيلر - وول - عاجل - تحليل - مراسل - مسؤول ) ,اسم الضيف/المراسل - حال وجوده,رابط النشر,الأهمية,برنت سكرين
05:56:29 PM,أسعار الغاز في أوروبا ترتفع مع تضخم التوترات الإقليمية ومنافسة آسيا على الإمدادات,تغطية خاصة,اقتصاد,مذيعة,نور عماشة ,https://www.facebook.com/profile/100063698360107/search/?q=%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1%20%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%20%D9%81%D9%8A%20%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7%20%D8%AA%D8%B1%D8%AA%D9%81%D8%B9%20%D9%85%D8%B9%20%D8%AA%D8%B6%D8%AE%D9%85%20%D8%A7%D9%84%D8%AA%D9%88%D8%AA%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A5%D9%82%D9%84%D9%8A%D9%85%D9%8A%D8%A9%20%D9%88%D9%85%D9%86%D8%A7%D9%81%D8%B3%D8%A9%20%D8%A2%D8%B3%D9%8A%D8%A7%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%A5%D9%85%D8%AF%D8%A7%D8%AF%D8%A7%D8%AA,,
06:02:36 PM,نزوح أكثر من 58 ألف شخص في لبنان بسبب الغارات الإسرائيلية,تغطية خاصة,أخبار ,فيلر ,,لم ينشر بعد,,
06:06:13 PM,رئيس الوزراء البريطاني كير ستارمر: نشرنا قدرات عسكرية في المنطقة قبل الضربات الأميركية والإسرائيلية,تغطية خاصة,أخبار ,مسؤول ,,(2) NOW الشرق | Facebook,,
06:07:45 PM,رئيس الوزراء البريطاني كير ستارمر: سوف نرسل أربع طائرات تايفون إضافية لتعزيز قدراتنا الدفاعية في قطر والمنطقة,تغطية خاصة,أخبار ,مسؤول ,,Facebook,,
06:16:00 PM,"نزوح واسع في الضاحية الجنوبية لبيروت بعد غارة إسرائيلية على منزل في بلدة لبايا بالبقاع الغربي.. مراسلة ""الشرق"" من بيروت مها حطيط والتفاصيل",تغطية خاصة,أخبار ,مراسل ,"مراسلة ""الشرق"" من بيروت مها حطيط ",https://www.facebook.com/reel/1435582471446547/,,
06:19:36 PM,"تصريحات إسرائيلية حول ""الضاحية"" والمنطقة العازلة جنوب لبنان تثير تساؤلات بشأن أهداف العمليات العسكرية.. مراسل ""الشرق"" من القدس قاسم الخطيب والتفاصيل",تغطية خاصة,أخبار ,مراسل ,"مراسل ""الشرق"" من القدس قاسم الخطيب",(3) Facebook,,
06:23:09 PM,بيان خليجي–أوروبي يدعو لحماية المدنيين ويشدد على منع إيران من امتلاك سلاح نووي,تغطية خاصة,أخبار ,مذيعة,,لم ينشر بعد,,
06:24:50 PM,كاتب ومحلل سياسي سلمان الشريدة: العلاقات بين مجلس التعاون لدول الخليج العربية والاتحاد الأوروبي شهدت تطوراً ملحوظاً خلال العامين الماضيين,تغطية خاصة,أخبار ,ضيف ,كاتب ومحلل سياسي سلمان الشريدة,(3) Facebook,,
06:29:44 PM,تراجعات جماعية في افتتاح وول ستريت وسط مخاوف التضخم وارتفاع أسعار الطاقة,الأسواق الأميركية,اقتصاد,مذيعة,,(3) Facebook,,
06:39:55 PM,محلل في ATFX: تراجعات الأسواق ناتجة عن جني أرباح وسط ضبابية مدة الحرب,الأسواق الأميركية,اقتصاد,ضيف ,جونزالو كانيتي - رئيس محللي الأسواق العالمية -ATFX,لم ينشر بعد,,
06:46:26 PM,الجيش الإسرائيلي: منظومات الدفاع الجوي الإسرائيلية تعمل على اعتراض الصواريخ ومنع وصولها لأهداف مدنية,تغطية خاصة,أخبار ,مذيعة,,(3) Facebook,,
06:46:44 PM,أذربيجان تغلق مجالها الجوي بعد هجمات صاروخية إيرانية وعمليات بحث وإنقاذ في المحيط الهندي,تغطية خاصة,أخبار ,مذيعة,,(3) Facebook,,
06:47:25 PM,الجيش الإسرائيلي يصدر أوامر إخلاء شاملة في الضاحية الجنوبية لبيروت وجنوب لبنان,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/reel/1227000396251224/,,
06:48:27 PM,حزب الله ينفذ هجمات صاروخية ومسيرة على الجيش الإسرائيلي في جنوب لبنان,تغطية خاصة,أخبار ,مذيعة,,(3) Facebook,,
06:50:14 PM,استمرار الغارات الأميركية والإسرائيلية على مختلف محافظات إيران في اليوم السادس من الحرب,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/r/1GN4FpwQGq/,,
06:52:13 PM,تقارير واشنطن بوست وأكسيوس تتحدث عن دعم لوجستي محتمل للأكراد داخل إيران، رغم نفي ماركو روبيو، مع تلميحات إلى دور لـ الموساد في هذا الملف.. مراسل الشرق من واشنطن كريم يسري والتفاصيل,تغطية خاصة,أخبار ,مراسل , مراسل الشرق من واشنطن كريم يسري ,https://www.facebook.com/share/r/1JzwxtLFr4/,,
06:56:32 PM,رئاسات الجمهورية والوزراء والبرلمان بالعراق: نرفض الاعتداءات على مدننا وإقليم كردستان العراق وندعم إجراءات فرض الأمن وحماية البعثات الدبلوماسية,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/r/1JtUFm8GBx/,,
07:00:54 PM,اتساع دائرة القصف الأميركي الإسرائيلي في اليوم الـ6 على التوالي للتصعيد ضد إيران.. مذيعة الشرق مايا حجيج والتفاصيل,شرق غرب,اقتصاد,مذيعة,,https://www.facebook.com/share/v/1KBv4mNSCu/,,
07:09:45 PM,مؤسس Pangaea Policy تيري هينز: الهدف الأساسي من التصعيد العسكري القضاء على قدرات إيران النووية وتقويض الجيش الإيراني وتغيير النظام,شرق غرب,اقتصاد,مذيعة,,https://www.facebook.com/share/v/1DYNbLvcua/,,
07:22:10 PM,رئيس قسم عملات مجموعة العشرة - CIBC جيرمي ستريتش: الدولار أثبت أنه المستفيد من ما يحدث عالمياً,شرق غرب,اقتصاد,ضيف ,رئيس قسم عملات مجموعة العشرة - CIBC جيرمي ستريتش,https://www.facebook.com/share/r/17M2CyTN8a/,,
07:27:29 PM,القيادة المركزية الأميركية: قواتنا تواصل استخدام حاملة الطائرات جيرالد فورد لتضييق الخناق البحري على إيران,شرق غرب,اقتصاد,مذيعة,,لم ينشر بعد,,
07:32:33 PM,محلل أسواق النفط - Kpler مات سميث: نتوقع أن لا يعمل مضيق هرمز بطريقة طبيعية قبل أن نرى حلاً مع إيران,شرق غرب,اقتصاد,ضيف ,محلل أسواق النفط - Kpler مات سميث,https://www.facebook.com/share/r/184BJZfSeL/,,
07:37:24 PM,مديرة صندوق النقد الدولي كريستالينا غورغييفا: إطالة أمد المواجهة مع إيران قد يؤثر في أسعار الطاقة وثقة الأسواق ومستويات التضخم,شرق غرب,اقتصاد,مذيعة,,https://www.facebook.com/share/r/17iRGXDWEt/,,
07:38:25 PM,ما هي تداعيات حرب إيران على الاقتصاد الصيني؟,شرق غرب,اقتصاد,فيلر ,,https://www.facebook.com/share/v/1C74P2TDG3/,,
07:41:03 PM,اقتصادي أول - pantheon macroeconomics كيلفين لام: الصين تعتمد على الخليج لتأمين 45% من استهلاكها للطاقة,شرق غرب,اقتصاد,ضيف ,اقتصادي أول - pantheon macroeconomics كيلفين لام,https://www.facebook.com/share/v/1AseRqQcbS/,,
07:57:23 PM,حرب إيران.. حصيلة المسيرات التي تطلقها إيران تجاه المنطقة,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/v/1DeK6rjh1B/,,
07:58:21 PM,ألية فرض السيطرة على الأجواء، أهم عناصر التفوق العسكري.. محتوى منتج بالذكاء الاصطناعي,تغطية خاصة,أخبار ,فيلر ,,https://www.facebook.com/share/v/1FdPosFhRq/,,
08:00:00 PM,الحرس الثوري الإيراني: الأمن مستتب على الحدود في شمال غرب البلاد,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/r/1E9arb5ovH/,,
08:07:42 PM,صناديق الذهب تسجل أكبر تراجع يومي في الحيازات منذ عام,جلسة المساء,اقتصاد,مذيعة,,https://www.facebook.com/share/r/16zPMaAXKa/,,